"w_O","w_O2","w_O3","u","v","p","T","X_O","X_O2","X_O3","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.6396e-05,0.9999,5.0631e-05,0.72972,6.4593e-13,0.0032377,872.41,9.2789e-05,0.99987,3.3753e-05,0,1,0.0082,0.0082,0.0025,0
4.3887e-05,0.9999,4.934e-05,0.72961,6.1344e-13,0.0029911,870.71,8.7771e-05,0.99988,3.2892e-05,0,1,0.0083,0.0083,0.0025,0
4.1546e-05,0.99991,4.8157e-05,0.72944,5.8295e-13,0.0027412,868.99,8.309e-05,0.99988,3.2104e-05,0,1,0.0084,0.0084,0.0025,0
3.936e-05,0.99991,4.7074e-05,0.72921,5.5424e-13,0.0024887,867.23,7.8718e-05,0.99989,3.1382e-05,0,1,0.0085,0.0085,0.0025,0
3.7357e-05,0.99991,4.6111e-05,0.72889,5.2812e-13,0.0022338,865.43,7.4713e-05,0.99989,3.074e-05,0,1,0.0086,0.0086,0.0025,0
3.5477e-05,0.99991,4.5228e-05,0.72851,5.0392e-13,0.0019778,863.61,7.0954e-05,0.9999,3.0152e-05,0,1,0.0087,0.0087,0.0025,0
3.3712e-05,0.99991,4.4422e-05,0.72807,4.814e-13,0.0017215,861.76,6.7424e-05,0.9999,2.9614e-05,0,1,0.0088,0.0088,0.0025,0
3.2055e-05,0.99992,4.3688e-05,0.72758,4.6047e-13,0.0014655,859.88,6.4109e-05,0.99991,2.9125e-05,0,1,0.0089,0.0089,0.0025,0
3.0497e-05,0.99992,4.3021e-05,0.72703,4.4113e-13,0.0012108,857.98,6.0994e-05,0.99991,2.868e-05,0,1,0.009,0.009,0.0025,0
2.9063e-05,0.99992,4.2437e-05,0.7264,4.2458e-13,0.00096006,856.05,5.8126e-05,0.99991,2.8291e-05,0,1,0.0091,0.0091,0.0025,0
2.7715e-05,0.99992,4.1912e-05,0.72573,4.1002e-13,0.00071466,854.1,5.5431e-05,0.99992,2.7941e-05,0,1,0.0092,0.0092,0.0025,0
2.6453e-05,0.99992,4.1445e-05,0.725,3.9681e-13,0.00047699,852.15,5.2906e-05,0.99992,2.763e-05,0,1,0.0093,0.0093,0.0025,0
2.5276e-05,0.99992,4.1033e-05,0.72423,3.8456e-13,0.00025006,850.21,5.0551e-05,0.99992,2.7355e-05,0,1,0.0094,0.0094,0.0025,0
2.4185e-05,0.99992,4.0677e-05,0.72342,3.7314e-13,3.7481e-05,848.29,4.8371e-05,0.99992,2.7118e-05,0,1,0.0095,0.0095,0.0025,0
2.3225e-05,0.99992,4.0396e-05,0.72257,3.5821e-13,-0.00014437,846.44,4.6451e-05,0.99993,2.6931e-05,0,1,0.0096,0.0096,0.0025,0
2.2387e-05,0.99992,4.0174e-05,0.7217,3.333e-13,-0.00028904,844.74,4.4774e-05,0.99993,2.6783e-05,0,1,0.0097,0.0097,0.0025,0
2.1704e-05,0.99993,4.0011e-05,0.72084,2.8701e-13,-0.00038179,843.27,4.3407e-05,0.99993,2.6674e-05,0,1,0.0098,0.0098,0.0025,0
2.1221e-05,0.99993,3.9903e-05,0.71998,1.9784e-13,-0.00040564,842.18,4.2441e-05,0.99993,2.6602e-05,0,1,0.0099,0.0099,0.0025,0
2.0998e-05,0.99993,3.9842e-05,0.7191,3.4215e-14,-0.00034138,841.67,4.1997e-05,0.99993,2.6562e-05,0,1,0.01,0.01,0.0025,0
